 Year,Make,Vehicle Class,Engine_Size_L,Cylinders,Transmission,Fuel_Type,FC_City ,FC_Hwy,FC_Comb,Comb_mpg,CO2_Emissions,CO2_Rating,Smog_Rating
2021,Cadillac,SUVStandard,6.2,8,A10,Z,16.8,12.4,14.8,19,347,2,3
2021,Cadillac,SUVStandard,6.2,8,A10,Z,17.5,12.6,15.3,18,357,2,3
2021,Cadillac,SUVSmall,2,4,AS9,Z,9.9,7.8,8.9,32,209,5,7
2021,Cadillac,SUVSmall,2,4,AS9,Z,10.9,8.2,9.7,29,227,5,7
2021,Cadillac,SUVSmall,2,4,AS9,Z,10.7,8,9.5,30,222,5,7
2021,Cadillac,SUVSmall,2,4,AS9,Z,11.2,8.7,10.1,28,237,5,7
2021,Cadillac,SUVSmall,3.6,6,AS9,X,12.9,9.2,11.2,25,263,4,6
2021,Cadillac,SUVSmall,2,4,AS9,Z,11.2,9,10.2,28,239,5,7
2021,Cadillac,SUVSmall,3.6,6,AS9,X,13.1,9.5,11.5,25,269,4,6
2021,Chevrolet,SUVSmall,2,4,A9,X,10.6,8,9.4,30,221,5,7
2021,Chevrolet,SUVSmall,2.5,4,A9,X,11.3,8.9,10.2,28,238,5,5
2021,Chevrolet,SUVSmall,3.6,6,A9,X,12,8.7,10.5,27,247,4,6
2021,Chevrolet,SUVSmall,2,4,A9,X,10.6,8.7,9.7,29,227,5,7
2021,Chevrolet,SUVSmall,3.6,6,A9,X,12.5,9,10.9,26,256,4,6
2021,Chevrolet,Subcompact,2,4,AS8,Z,10.9,7.8,9.5,30,222,5,5
2021,Chevrolet,Subcompact,2,4,M6,Z,12.6,8,10.5,27,247,4,5
2021,Chevrolet,Subcompact,3.6,6,AS10,X,12.8,8.1,10.7,26,251,4,6
2021,Chevrolet,Subcompact,3.6,6,M6,X,14.4,9,12,24,281,4,6
2021,Chevrolet,Subcompact,6.2,8,AS10,Z,14.6,8.9,12,24,281,4,1
2021,Chevrolet,Subcompact,6.2,8,M6,Z,14.9,9.9,12.6,22,296,3,1
2021,Chevrolet,Subcompact,6.2,8,AS10,Z,18.3,11.2,15.1,19,355,2,1
2021,Chevrolet,Subcompact,6.2,8,M6,Z,17.2,12,14.8,19,349,2,1
2021,Chevrolet,Pickup truck: Small,2.5,4,A6,X,12.2,9.4,10.9,26,257,4,6
2021,Chevrolet,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,294,3,3
2021,Chevrolet,Pickup truck: Small,3.6,6,A8,X,12.9,9.3,11.3,25,263,4,6
2021,Chevrolet,Pickup truck: Small,2.5,4,A6,X,12.7,9.9,11.4,25,268,4,6
2021,Chevrolet,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,27,294,3,3
2021,Chevrolet,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.1,23,284,3,6
2021,Chevrolet,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,23,326,3,3
2021,Chevrolet,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,20,329,3,6
2021,Chevrolet,Twoseater,6.2,8,AS8,Z,15.4,8.7,12.4,23,290,3,3
2021,Chevrolet,SUVSmall,1.5,4,A6,X,8.9,7.7,8.4,34,198,6,7
2021,Chevrolet,SUVSmall,1.5,4,A6,X,9.4,8,8.8,32,207,6,7
2021,Chevrolet,Midsize,1.5,4,AV,X,8.2,6.6,7.5,38,175,7,7
2021,Chevrolet,Midsize,2,4,A9,Z,10.7,7.1,9.1,31,213,5,5
2021,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.2,25,263,4,6
2021,Chevrolet,Pickup truck: Standard,2.7,4,A8,X,11.9,10.3,11.2,25,263,4,6
2021,Chevrolet,Pickup truck: Standard,3,6,A10,D,10.2,7.2,8.8,32,238,5,3
2021,Chevrolet,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,21,318,3,6
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,15.8,11.4,13.8,20,325,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.7,11.4,14.3,20,336,2,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,X,16.2,12.3,14.5,19,340,2,3
2021,Chevrolet,Pickup truck: Standard,5.3,8,A6,E,21.5,16,19,15,315,3,3
2021,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,13.9,10.1,12.2,23,286,3,5
2021,Chevrolet,Pickup truck: Standard,5.3,8,A8,X,15.9,10.8,13.6,21,319,3,5
